Experiment	STML
1.0010468560000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844646e-08	10690000	-4.0	967.3415088299668
1.0029562000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843978e-08	10700000	-5.0	967.7574095214388
1.0016479600000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068433960000001e-08	10710000	-5.0	968.1732972567337
1.001303206e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844092e-08	10720000	-8.0	968.5891720305289
1.001929e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684483e-08	10730000	-7.0	969.0050338375
1.00181292e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068446e-08	10740000	-4.0	969.4208826723243
1.0017425260000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068441760000001e-08	10750000	3.0	969.8367185296801
1.001774914e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846166e-08	10760000	-15.0	970.2525414042456
1.001410492e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844216e-08	10770000	-4.0	970.6683512907
1.0011857100000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847516e-08	10780000	-7.0	971.084148183723
1.0014798959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684956e-08	10790000	-13.0	971.4999320779949
1.0016787699999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068485659999999e-08	10800000	-9.0	971.9157029681973
1.0018820399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068492639999999e-08	10810000	6.0	972.3314608490108
1.001015546e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850102e-08	10820000	-7.0	972.7472057151181
1.00233836e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0685013e-08	10830000	-6.0	973.1629375612017
1.00131906e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849392e-08	10840000	-10.0	973.5786563819456
1.0022742820000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849448e-08	10850000	8.0	973.9943621720338
1.0021157999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848836e-08	10860000	-2.0	974.4100549261503
1.0004437139999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068501e-08	10870000	-4.0	974.8257346389811
1.0022466999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068518939999999e-08	10880000	-7.0	975.2414013052121
1.0024798799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068494340000001e-08	10890000	-6.0	975.6570549195295
1.00105194e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06850004e-08	10900000	6.0	976.0726954766209
1.0023369400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068506139999999e-08	10910000	0.0	976.4883229711734
1.0015651139999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068484260000001e-08	10920000	16.0	976.9039373978758
1.00117574e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06851438e-08	10930000	0.0	977.3195387514171
1.0027542200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068507959999999e-08	10940000	-7.0	977.7351270264871
1.001890678e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068473440000001e-08	10950000	-8.0	978.150702217776
1.001086738e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684817e-08	10960000	-12.0	978.5662643199752
1.0020576e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068502720000001e-08	10970000	3.0	978.9818133277751
1.0022468880000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848226e-08	10980000	2.0	979.3973492358691
1.001514788e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068475859999999e-08	10990000	10.0	979.8128720389492
1.0016287e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849546e-08	11000000	-2.0	980.2283817317093
1.0027801399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848156e-08	11010000	-5.0	980.6438783088427
1.0013428000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846576e-08	11020000	7.0	981.0593617650451
1.00099445e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848256e-08	11030000	-2.0	981.4748320950107
1.002467708e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847006e-08	11040000	-13.0	981.8902892934357
1.0014881659999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068454419999999e-08	11050000	-8.0	982.3057333550175
1.0017897340000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846946e-08	11060000	15.0	982.7211642744523
1.0024398199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068471320000001e-08	11070000	-8.0	983.1365820464385
1.00145662e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068454140000001e-08	11080000	-11.0	983.5519866656743
1.001332034e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684787e-08	11090000	-11.0	983.9673781268584
1.0018202e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848352e-08	11100000	-19.0	984.382756424691
1.00200584e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847004e-08	11110000	-9.0	984.7981215538723
1.000938098e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068490919999999e-08	11120000	-11.0	985.2134735091031
1.0017789440000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849206e-08	11130000	1.0	985.628812285085
1.0022295e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068488099999999e-08	11140000	-4.0	986.0441378765203
1.0021052679999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848382e-08	11150000	-6.0	986.4594502781118
1.001552774e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847532e-08	11160000	-22.0	986.8747494845628
1.0014543280000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849834e-08	11170000	0.0	987.2900354905775
1.002364888e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849606e-08	11180000	4.0	987.7053082908612
1.00174621e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068479859999999e-08	11190000	-9.0	988.1205678801183
1.0008384139999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068499299999999e-08	11200000	-5.0	988.5358142530554
1.0030659999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848838e-08	11210000	5.0	988.9510474043788
1.0011626999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847346e-08	11220000	-13.0	989.3662673287959
1.001924348e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848224e-08	11230000	-12.0	989.7814740210147
1.0024925400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846676e-08	11240000	-10.0	990.1966674757431
1.0024153599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068450419999999e-08	11250000	0.0	990.6118476876917
1.000358474e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847502e-08	11260000	-16.0	991.0270146515687
1.00208842e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847702e-08	11270000	-9.0	991.4421683620852
1.00278686e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845072e-08	11280000	-7.0	991.8573088139519
1.000363272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845782e-08	11290000	3.0	992.2724360018816
1.0023092399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848396e-08	11300000	-10.0	992.6875499205853
1.00260226e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844078e-08	11310000	-11.0	993.1026505647767
1.0013687e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843096e-08	11320000	-1.0	993.5177379291697
1.0010538680000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684757e-08	11330000	-11.0	993.9328120084775
1.0030611e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844176e-08	11340000	12.0	994.3478727974158
1.0009653339999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068436379999999e-08	11350000	-4.0	994.7629202906998
1.00149204e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846522e-08	11360000	-4.0	995.1779544830457
1.00310986e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843806e-08	11370000	-11.0	995.5929753691698
1.000755212e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843878e-08	11380000	1.0	996.0079829437907
1.0006184800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068478700000001e-08	11390000	-15.0	996.4229772016254
1.0028280599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847302e-08	11400000	4.0	996.8379581373932
1.0014743059999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068462659999999e-08	11410000	-2.0	997.252925745813
1.0011491e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06849236e-08	11420000	9.0	997.6678800216051
1.0020973459999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068482419999999e-08	11430000	-2.0	998.0828209594902
1.0019597e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847544e-08	11440000	-13.0	998.4977485541895
1.001479632e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847888e-08	11450000	0.0	998.9126628004242
1.00201152e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847346e-08	11460000	-10.0	999.3275636929178
1.0018113800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847244e-08	11470000	3.0	999.7424512263934
1.00112368e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068490640000001e-08	11480000	-17.0	1000.1573253955743
1.0028410899999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847816e-08	11490000	-8.0	1000.5721861951852
1.0013247959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684618e-08	11500000	8.0	1000.9870336199511
1.0014815199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06848142e-08	11510000	-4.0	1001.401867664598
1.001633598e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068495619999999e-08	11520000	-3.0	1001.8166883238518
1.0022128e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068485659999999e-08	11530000	-5.0	1002.2314955924402
1.00172852e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847446e-08	11540000	-13.0	1002.6462894650905
1.0020186399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847062e-08	11550000	-1.0	1003.0610699365313
1.0017612599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847076e-08	11560000	1.0	1003.4758370014914
1.0021291000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684675e-08	11570000	-13.0	1003.8905906547003
1.0022213e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684571e-08	11580000	-3.0	1004.3053308908882
1.0019112779999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068452300000002e-08	11590000	-11.0	1004.7200577047862
1.00169534e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068447160000001e-08	11600000	-16.0	1005.1347710911259
1.0012789900000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843678e-08	11610000	-12.0	1005.5494710446396
1.0021833220000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684517e-08	11620000	-17.0	1005.9641575600594
1.00252456e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844092e-08	11630000	3.0	1006.3788306321198
1.0012658460000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068428979999999e-08	11640000	-12.0	1006.7934902555539
1.001843652e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844718e-08	11650000	-13.0	1007.2081364250978
1.0027045600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841758e-08	11660000	2.0	1007.6227691354852
1.0018905599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06840226e-08	11670000	-18.0	1008.0373883814542
1.0005806320000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843066e-08	11680000	12.0	1008.4519941577394
1.002005222e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844886e-08	11690000	-5.0	1008.8665864590799
1.00203582e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684257e-08	11700000	-5.0	1009.2811652802129
1.000941758e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068438760000001e-08	11710000	1.0	1009.6957306158772
1.00200746e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844956e-08	11720000	-2.0	1010.1102824608118
1.001649272e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068445479999999e-08	11730000	-9.0	1010.5248208097573
1.0018217799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844586e-08	11740000	1.0	1010.9393456574542
1.0019618400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846096e-08	11750000	0.0	1011.3538569986432
1.001459846e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068435499999999e-08	11760000	-12.0	1011.7683548280669
1.001740124e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844842e-08	11770000	-10.0	1012.1828391404675
1.0014648959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847744e-08	11780000	2.0	1012.5973099305882
1.00237468e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844858e-08	11790000	-8.0	1013.0117671931731
1.00141908e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843508e-08	11800000	-3.0	1013.4262109229664
1.0014889380000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684817e-08	11810000	-1.0	1013.8406411147139
1.00234894e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846236e-08	11820000	-16.0	1014.2550577631604
1.0008960819999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068456119999999e-08	11830000	0.0	1014.6694608630532
1.001653044e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068483e-08	11840000	-2.0	1015.0838504091394
1.0022752239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068463660000001e-08	11850000	-5.0	1015.4982263961665
1.001354178e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847546e-08	11860000	4.0	1015.9125888188833
1.00217704e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068477280000001e-08	11870000	3.0	1016.3269376720378
1.0022335600000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068445300000001e-08	11880000	-9.0	1016.7412729503815
1.0023236e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068444580000001e-08	11890000	-7.0	1017.1555946486636
1.0017369139999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842742e-08	11900000	6.0	1017.5699027616351
1.0016175e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684412e-08	11910000	9.0	1017.9841972840491
1.0014476399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844476e-08	11920000	-7.0	1018.398478210656
1.0028489259999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841562e-08	11930000	-2.0	1018.8127455362103
1.000631496e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842386e-08	11940000	-11.0	1019.2269992554649
1.00254708e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068444599999999e-08	11950000	16.0	1019.6412393631746
1.00262908e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684034e-08	11960000	-17.0	1020.055465854094
1.0015087e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838564e-08	11970000	-3.0	1020.4696787229791
1.00130232e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841802e-08	11980000	1.0	1020.8838779645861
1.002277912e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841518e-08	11990000	-2.0	1021.2980635736724
1.002001584e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06837766e-08	12000000	-3.0	1021.7122355449949
1.001029672e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068403239999999e-08	12010000	-5.0	1022.1263938733117
1.001761166e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842796e-08	12020000	1.0	1022.5405385533829
1.0021122199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684102e-08	12030000	-14.0	1022.9546695799675
1.0011044340000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068415480000002e-08	12040000	-3.0	1023.3687869478255
1.001219498e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068460660000001e-08	12050000	0.0	1023.7828906517177
1.0029447399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844192e-08	12060000	-5.0	1024.1969806864067
1.0010387179999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684284e-08	12070000	1.0	1024.6110570466537
1.000102842e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068476020000001e-08	12080000	3.0	1025.025119727222
1.00285563e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068473440000001e-08	12090000	-6.0	1025.4391687228756
1.002349748e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684419e-08	12100000	-8.0	1025.8532040283783
1.0008099579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846776e-08	12110000	3.0	1026.2672256384947
1.0026950900000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684679e-08	12120000	-12.0	1026.6812335479906
1.00123894e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845468e-08	12130000	0.0	1027.0952277516328
1.0015957740000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06847418e-08	12140000	1.0	1027.5092082441872
1.002011828e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684777e-08	12150000	-7.0	1027.9231750204221
1.00225628e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684513e-08	12160000	-7.0	1028.3371280751057
1.0012777660000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845144e-08	12170000	1.0	1028.7510674030066
1.0027931600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068440640000001e-08	12180000	-3.0	1029.1649929988941
1.0014203340000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842228e-08	12190000	-7.0	1029.5789048575389
1.0020216939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843096e-08	12200000	2.0	1029.9928029737116
1.00256592e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841902e-08	12210000	2.0	1030.4066873421837
1.0016956e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068396979999999e-08	12220000	13.0	1030.8205579577275
1.0011978920000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841602e-08	12230000	17.0	1031.2344148151162
1.002758e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068403660000001e-08	12240000	-12.0	1031.6482579091228
1.001835842e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683825e-08	12250000	-2.0	1032.0620872345219
1.002114974e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068370140000001e-08	12260000	13.0	1032.475902786088
1.0015625e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06837042e-08	12270000	-10.0	1032.8897045585966
1.001973774e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683643e-08	12280000	-7.0	1033.3034925468244
1.0020393859999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683693e-08	12290000	2.0	1033.7172667455482
1.0013816060000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836022e-08	12300000	1.0	1034.131027149545
1.001368636e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838222e-08	12310000	5.0	1034.5447737535937
1.0016592799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683997e-08	12320000	-5.0	1034.9585065524725
1.0014693319999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06839474e-08	12330000	-10.0	1035.3722255409614
1.0027503199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838448e-08	12340000	-7.0	1035.7859307138406
1.00075769e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06839812e-08	12350000	-4.0	1036.199622065891
1.0016662980000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841562e-08	12360000	4.0	1036.6132995918938
1.001343426e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843452e-08	12370000	-2.0	1037.0269632866311
1.0016183380000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068419e-08	12380000	-9.0	1037.440613144887
1.0020709999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841972e-08	12390000	-19.0	1037.8542491614432
1.000677788e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068445020000001e-08	12400000	-15.0	1038.2678713310859
1.00170652e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845484e-08	12410000	-6.0	1038.681479648599
1.001640526e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844774e-08	12420000	-17.0	1039.095074108768
1.0018648e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845768e-08	12430000	7.0	1039.5086547063793
1.00213819e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684662e-08	12440000	-3.0	1039.9222214362196
1.0024160599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068440619999999e-08	12450000	2.0	1040.335774293077
1.0010168080000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684476e-08	12460000	14.0	1040.7493132717398
1.0022062e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684497e-08	12470000	-14.0	1041.162838366996
1.0024497819999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843336e-08	12480000	2.0	1041.5763495736371
1.000877692e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068434820000001e-08	12490000	-3.0	1041.9898468864512
1.0023872019999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068432959999999e-08	12500000	-3.0	1042.403330300231
1.0026937800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06841178e-08	12510000	-3.0	1042.8167998097667
1.0016532579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068397860000001e-08	12520000	-16.0	1043.230255409852
1.00178191e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06839416e-08	12530000	-13.0	1043.6436970952789
1.0031662200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683754e-08	12540000	-6.0	1044.057124860842
1.0015460139999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836148e-08	12550000	-6.0	1044.4705387013344
1.0019226e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683622e-08	12560000	-4.0	1044.883938611552
1.00237696e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06833236e-08	12570000	-9.0	1045.2973245862906
1.00076762e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834584e-08	12580000	-16.0	1045.7106966203464
1.001500024e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06838108e-08	12590000	-13.0	1046.124054708516
1.00265388e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836162e-08	12600000	-15.0	1046.5373988455976
1.0014082839999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06833546e-08	12610000	-6.0	1046.9507290263898
1.000256766e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068399260000001e-08	12620000	-13.0	1047.3640452456912
1.00232486e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06840936e-08	12630000	-17.0	1047.777347498302
1.0013485599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068400380000001e-08	12640000	-19.0	1048.1906357790224
1.0008308800000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06842216e-08	12650000	-8.0	1048.6039100826536
1.002372942e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844036e-08	12660000	-4.0	1049.0171704039974
1.001500246e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068417000000001e-08	12670000	-10.0	1049.4304167378561
1.0018159959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684372e-08	12680000	-14.0	1049.8436490790339
1.0019018520000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06843352e-08	12690000	-10.0	1050.2568674223335
1.002599766e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068412340000002e-08	12700000	3.0	1050.670071762559
1.000370174e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068428540000001e-08	12710000	-6.0	1051.0832620945173
1.00156924e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0684406e-08	12720000	-10.0	1051.4964384130128
1.0023165739999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068446579999999e-08	12730000	-10.0	1051.909600712853
1.0010714859999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844704e-08	12740000	1.0	1052.322748988845
1.0021650799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068439199999999e-08	12750000	-9.0	1052.7358832357966
1.000949076e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06845086e-08	12760000	-7.0	1053.1490034485162
1.0024125199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06846108e-08	12770000	-8.0	1053.5621096218129
1.00220693e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068435939999999e-08	12780000	-24.0	1053.9752017504977
1.001180752e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844204e-08	12790000	-1.0	1054.3882798293807
1.00292742e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06844416e-08	12800000	1.0	1054.8013438532732
1.0023510000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06840624e-08	12810000	-9.0	1055.2143938169875
1.0011343379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06840638e-08	12820000	-6.0	1055.6274297153361
1.00278216e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068411499999999e-08	12830000	-19.0	1056.0404515431328
1.00261142e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836772e-08	12840000	-7.0	1056.453459295191
1.00132498e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06836944e-08	12850000	-4.0	1056.866452966326
1.00154714e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068371139999999e-08	12860000	-2.0	1057.2794325513532
1.0024704999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068353799999999e-08	12870000	1.0	1057.6923980450888
1.00188384e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068345820000001e-08	12880000	-10.0	1058.1053494423495
1.0017413419999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834624e-08	12890000	8.0	1058.5182867379528
1.002043872e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06835096e-08	12900000	6.0	1058.9312099267174
1.0019215600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834272e-08	12910000	-15.0	1059.3441190034619
1.001358122e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06834712e-08	12920000	-7.0	1059.7570139630056
1.00184744e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068354239999999e-08	12930000	9.0	1060.1698948001692
1.00103608e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068360479999999e-08	12940000	-4.0	1060.5827615097737
1.00223052e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683768e-08	12950000	12.0	1060.9956140866407
1.001054064e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0683835e-08	12960000	-6.0	1061.408452525592
